Feature,Importance
tGravityAcc-mean()-X,0.03800185574547859
"angle(X,gravityMean)",0.03256482736272941
tGravityAcc-max()-X,0.027665372828647207
tGravityAcc-energy()-X,0.02487561556875582
tGravityAcc-mean()-Y,0.02403992535611585
tGravityAcc-max()-Y,0.02107073490489835
tGravityAcc-min()-X,0.02042740352296678
tGravityAcc-min()-Y,0.019727884623867542
"angle(Y,gravityMean)",0.016117893700001013
tGravityAcc-energy()-Y,0.013617663751191184
tBodyAccJerk-std()-X,0.012390564432265286
"angle(Z,gravityMean)",0.011890294985687652
tGravityAcc-min()-Z,0.011234210824162096
"fBodyAccJerk-bandsEnergy()-1,16",0.01073013404014097
"tGravityAcc-arCoeff()-Z,2",0.01058534903467105
fBodyAccMag-mean(),0.010485720682933844
tBodyGyroJerk-iqr()-Z,0.0104120567179012
fBodyAccJerk-max()-X,0.010153131226775705
"tGravityAcc-arCoeff()-Z,3",0.01006602971589858
tBodyAcc-std()-X,0.009611436285030469
tBodyAccMag-mad(),0.008974068818734717
tGravityAccMag-std(),0.008621830921883159
fBodyAcc-mad()-X,0.008543632611025687
tBodyAccJerk-sma(),0.008468878427103753
"tGravityAcc-arCoeff()-Y,1",0.008422337864284006
"fBodyAccJerk-bandsEnergy()-1,24",0.008405242234232588
"fBodyAccJerk-bandsEnergy()-1,16",0.008211545503352928
fBodyAccMag-mad(),0.008174824024737494
fBodyAcc-entropy()-X,0.008098640715907428
"tGravityAcc-arCoeff()-Z,1",0.008076805623148392
tGravityAcc-max()-Z,0.00784202474235286
tGravityAcc-entropy()-Y,0.007774438141803437
fBodyAccMag-energy(),0.0076360021509089705
fBodyAccJerk-mean()-X,0.007284707232931264
tGravityAccMag-mad(),0.007131090501068428
tGravityAcc-energy()-Z,0.007114344760414273
"tGravityAcc-arCoeff()-Y,2",0.007067915775230241
tBodyAcc-energy()-X,0.006919607463582812
fBodyAcc-std()-X,0.006878643589386684
fBodyAccMag-sma(),0.006766883987824586
"tGravityAcc-arCoeff()-X,1",0.006709187248360627
tGravityAcc-mean()-Z,0.00669787666206574
tBodyAccJerkMag-energy(),0.006492408715824445
"fBodyAccJerk-bandsEnergy()-9,16",0.006457888934440721
fBodyAccJerk-std()-X,0.006352717643372402
tBodyGyroJerk-mad()-Z,0.00634986043513027
tBodyGyroJerk-sma(),0.006318573176252982
"fBodyAcc-bandsEnergy()-1,24",0.006297656454879424
"tGravityAcc-arCoeff()-X,2",0.006266066548294116
fBodyAccJerk-energy()-X,0.006239178767871337
fBodyGyro-maxInds-Z,0.006018503326893722
"tGravityAcc-arCoeff()-Y,3",0.006008262404445361
"fBodyAccJerk-bandsEnergy()-1,8",0.005782396664566041
"fBodyAcc-bandsEnergy()-1,16",0.0050782689710660725
"fBodyAcc-bandsEnergy()-9,16",0.005002286667874725
fBodyAccMag-std(),0.004863453228486927
tBodyAccJerk-mad()-Y,0.0048233994411057066
fBodyGyro-meanFreq()-X,0.0048175192995366205
tBodyAcc-max()-X,0.004813760307511145
tBodyAccJerk-energy()-X,0.004799119229320623
"tBodyAcc-correlation()-X,Y",0.0046658322717385795
tBodyAccMag-std(),0.004609627465014258
tBodyAccJerkMag-mad(),0.004466300630355441
"tGravityAcc-arCoeff()-Z,4",0.004440726943022866
tBodyAccJerk-entropy()-Y,0.004356340167877736
fBodyAccJerk-mad()-X,0.004336887215561355
fBodyBodyAccJerkMag-mean(),0.004332706423231034
tBodyGyroJerk-iqr()-X,0.004235638605048362
fBodyGyro-maxInds-X,0.004231472777165565
tBodyAccJerk-iqr()-X,0.0042117999729754975
tBodyAccJerk-max()-X,0.0040926804954299
tGravityAccMag-arCoeff()1,0.004061480261251173
tBodyAccMag-arCoeff()1,0.004034427576163792
tGravityAcc-sma(),0.003951899544092225
"tGravityAcc-arCoeff()-X,3",0.0039489604233018385
fBodyAcc-energy()-X,0.0038509712258047897
fBodyAcc-mean()-X,0.003810787818717281
tBodyGyro-max()-X,0.003590020154893147
tBodyGyro-iqr()-X,0.003418837451934152
"fBodyAcc-bandsEnergy()-1,8",0.0033368635730146767
fBodyAccMag-meanFreq(),0.0033313967288009835
fBodyAcc-meanFreq()-Z,0.003304555445536683
"tGravityAcc-arCoeff()-Y,4",0.0032811787316885375
tBodyAcc-mad()-X,0.003096786373574542
"tGravityAcc-arCoeff()-X,4",0.003080925289858388
fBodyGyro-max()-X,0.00303946654916288
tBodyAcc-iqr()-X,0.0030296241284670468
tBodyAcc-sma(),0.0030117762164939364
"fBodyGyro-bandsEnergy()-1,8",0.0030038019008609175
tBodyAccJerk-entropy()-X,0.0029812633466383197
tBodyGyro-mad()-X,0.002904914879141686
tGravityAcc-entropy()-X,0.0028486851756735765
tBodyGyro-energy()-X,0.0028238422522788038
fBodyGyro-energy()-X,0.0027377331723127374
tGravityAcc-std()-X,0.002715374729286265
fBodyBodyGyroMag-meanFreq(),0.002694357910121643
tBodyGyro-entropy()-X,0.002671117231809372
tGravityAcc-mad()-X,0.0026276960930972986
fBodyGyro-std()-X,0.002595987573531649
fBodyAccJerk-maxInds-X,0.0025779994998139577
tBodyGyro-iqr()-Y,0.0025645881869463794
fBodyGyro-maxInds-Y,0.002528451068491533
tBodyGyro-std()-X,0.00251392365868601
fBodyGyro-mean()-X,0.00251114267980391
"fBodyGyro-bandsEnergy()-1,16",0.002504118577330665
fBodyAccJerk-max()-Y,0.0024898746298245168
fBodyAccJerk-energy()-Y,0.0024714119506657802
tBodyAccJerkMag-mean(),0.0024175349961416655
fBodyGyro-mad()-X,0.0023986256944288705
fBodyAccMag-entropy(),0.002394151021149219
tBodyAccJerkMag-sma(),0.002366749301891519
fBodyAccJerk-sma(),0.002307256263231151
tBodyAccJerk-mad()-Z,0.0022977283601789376
tGravityAccMag-max(),0.002216244900983033
tBodyAccMag-max(),0.0021995037884703227
fBodyAcc-iqr()-X,0.002183817700390363
fBodyAccJerk-entropy()-Y,0.00216387219204375
"tBodyAcc-correlation()-Y,Z",0.002158079080715926
tBodyGyroJerk-energy()-X,0.0019582421196637167
fBodyAcc-max()-X,0.0019222268380476243
tBodyGyro-min()-X,0.0018686349063365636
"tGravityAcc-correlation()-X,Y",0.0018389418201450042
"fBodyGyro-bandsEnergy()-1,24",0.0018316656118017136
fBodyAccMag-max(),0.0018260180741637136
tBodyAccMag-energy(),0.0018236582136048072
fBodyGyro-entropy()-X,0.0018067960248306784
tBodyAccJerkMag-iqr(),0.0017024059854152248
fBodyGyro-max()-Z,0.0016954888789946485
tBodyAccMag-arCoeff()2,0.0016837215130470447
tGravityAcc-mad()-Y,0.001652551455224836
tBodyGyroJerk-std()-X,0.0016373763349945432
fBodyBodyGyroMag-maxInds,0.0015981474752450578
fBodyAccJerk-maxInds-Z,0.0015683042986720298
"fBodyGyro-bandsEnergy()-9,16",0.001546629972700752
tBodyAccJerkMag-entropy(),0.001529484947894779
fBodyAccMag-iqr(),0.0015191417138214732
"fBodyAcc-bandsEnergy()-1,8",0.0015012030124485906
fBodyAcc-kurtosis()-X,0.0014799335471756792
"tBodyAcc-correlation()-X,Z",0.001463779572939672
tBodyGyroJerk-mad()-X,0.0013840250079255885
tGravityAcc-iqr()-X,0.0013834892095663583
"fBodyGyro-bandsEnergy()-1,8",0.0013261190182722784
"tBodyGyroJerk-arCoeff()-X,1",0.0013216382661667852
fBodyAccJerk-mad()-Y,0.001306361798124866
tBodyGyro-mean()-Z,0.001279096604085621
"fBodyAcc-bandsEnergy()-1,8",0.0012251107336511253
"fBodyAccJerk-bandsEnergy()-17,32",0.0012185609239605427
"tBodyGyro-correlation()-Y,Z",0.0011866151905806387
fBodyAcc-max()-Y,0.0011781550240462435
fBodyGyro-skewness()-Y,0.0011689368206539404
fBodyAcc-skewness()-Y,0.0011567221538429972
tBodyGyro-energy()-Z,0.001116298763769729
tBodyGyro-mean()-X,0.0010885476197932133
"fBodyGyro-bandsEnergy()-1,8",0.0010712650963111108
tBodyAccMag-iqr(),0.0010698610037128253
"fBodyAccJerk-bandsEnergy()-17,32",0.0010531570993213655
tBodyAcc-energy()-Y,0.0010362789960536457
tBodyAccMag-sma(),0.0009992680937008
tGravityAcc-std()-Y,0.0009959184124555456
"fBodyAcc-bandsEnergy()-17,32",0.0009842788707038494
"tBodyGyro-arCoeff()-X,1",0.0009816442791966838
"fBodyAcc-bandsEnergy()-17,24",0.0009671228602639095
tBodyGyro-mad()-Z,0.0009375200719606158
tBodyAccJerk-max()-Z,0.0009364360280611702
fBodyBodyAccJerkMag-max(),0.0009351578995524379
tGravityAccMag-mean(),0.000922818202418895
tBodyAcc-entropy()-X,0.0009038122633419328
"fBodyGyro-bandsEnergy()-1,16",0.0009019204415105128
fBodyAcc-kurtosis()-Y,0.0008995200150177945
tGravityAcc-std()-Z,0.0008887224824686207
tBodyGyro-std()-Y,0.0008832539959458326
"tBodyAccJerk-correlation()-X,Y",0.000864585451564614
"fBodyAccJerk-bandsEnergy()-1,24",0.0008505539308196122
fBodyAcc-skewness()-X,0.0008500365959854351
fBodyGyro-skewness()-Z,0.000847049167706293
fBodyAcc-energy()-Z,0.0008334150927974249
tBodyGyroJerk-entropy()-X,0.0008283339684050212
"fBodyAcc-bandsEnergy()-1,24",0.0008199623658864212
fBodyAcc-std()-Y,0.0008158512352966929
fBodyGyro-kurtosis()-Z,0.0007967044082231239
fBodyGyro-energy()-Z,0.0007919001211772167
"fBodyAccJerk-bandsEnergy()-1,8",0.0007850756203694582
fBodyGyro-max()-Y,0.0007846517467321998
tBodyAcc-energy()-Z,0.0007846172894206221
fBodyGyro-kurtosis()-Y,0.0007844577405344223
tGravityAccMag-iqr(),0.0007667514223161078
"tBodyGyro-correlation()-X,Z",0.0007436654179921462
tBodyGyroJerk-max()-X,0.0007321290882279959
"fBodyAcc-bandsEnergy()-1,16",0.0007307135814516001
"angle(tBodyGyroMean,gravityMean)",0.0007235665403667668
"tGravityAcc-correlation()-Y,Z",0.0007057484968549736
fBodyGyro-std()-Z,0.0007001278522287388
fBodyAcc-meanFreq()-X,0.0006885914342278598
fBodyGyro-energy()-Y,0.0006798143655146194
tGravityAccMag-energy(),0.0006719962426656758
"tBodyGyroJerk-correlation()-X,Y",0.000663408279022384
"tBodyGyro-correlation()-X,Y",0.000663064090399999
tGravityAccMag-sma(),0.0006622296730129204
tBodyGyro-iqr()-Z,0.0006608463497345647
tBodyAcc-mad()-Y,0.0006538298285888208
"tBodyAcc-arCoeff()-X,1",0.0006499499062665211
fBodyAcc-std()-Z,0.0006470158480204441
tBodyGyro-energy()-Y,0.0006420409885018705
fBodyGyro-meanFreq()-Z,0.000640538156155601
"fBodyAcc-bandsEnergy()-9,16",0.0006309489820396418
fBodyBodyAccJerkMag-std(),0.0006252068168263569
fBodyGyro-std()-Y,0.0006247371672554004
"fBodyGyro-bandsEnergy()-1,24",0.0006218671368837579
fBodyGyro-entropy()-Y,0.0006145027086867774
"fBodyGyro-bandsEnergy()-33,40",0.0006084995811235183
tBodyGyro-std()-Z,0.000598813019509688
"fBodyGyro-bandsEnergy()-1,16",0.0005931196634867296
"fBodyAcc-bandsEnergy()-1,16",0.000591059913834863
tBodyGyroJerk-entropy()-Z,0.0005832184565333358
fBodyAccJerk-mean()-Y,0.0005787014360677866
fBodyAcc-energy()-Y,0.0005767519304653073
fBodyBodyGyroJerkMag-std(),0.0005762773989446159
"fBodyGyro-bandsEnergy()-33,48",0.0005739630387496752
tBodyAccMag-mean(),0.0005701198648095858
tGravityAcc-iqr()-Y,0.0005676150003320251
"tGravityAcc-correlation()-X,Z",0.0005606900046723307
"tBodyGyroJerk-arCoeff()-X,3",0.000554831078384814
tBodyGyroJerk-mad()-Y,0.0005468014340573245
tBodyGyroJerk-min()-X,0.0005430917815431092
tBodyGyro-mad()-Y,0.0005334216745680484
